           B1_1.JPG    FC300X_(3.61_mm)
            604 1.532326032270098 -0.711091057309234
            622 0.796220154214472 2.038042971697258
            627 2.853923773456988 1.840264695139064
            635 0.799801598999455 1.458985826004654
            636 -0.721975339517259 1.449320558236193
            640 -0.721977627493059 1.047128732302460
            642 2.154737816891704 0.873795975678937
            647 -2.898567543750580 0.587333874314597
            651 0.915475172829434 0.346960662125195
            655 -0.094328666266154 0.254309463449452
            659 1.614388097615965 0.111437386637008
            665 -0.134083771101508 -0.279603035914096
            670 1.667219365475366 -0.896685171575170
            672 0.454002656586510 2.224152988756383
            681 1.513532599052134 1.736939565030371
            683 0.495670890519634 1.664380988497467
            691 -1.308439783028006 1.408864379482911
            698 1.386388639880132 1.229306708034935
            703 -0.894158864963105 1.065016985094704
            710 0.497553131944110 0.871091302286828
            713 -1.958462478269957 0.706658866856097
            716 0.205765671573862 0.678032666974677
            728 1.663323324017937 0.483833094397123
            732 0.368665353883507 0.799749356885365
            735 -2.536737922730777 0.690330155568259
            739 -1.303571923849695 0.644169862481909
            740 -1.262175005713474 0.633877784676681
            745 0.735010318976914 0.541501333761541
            751 0.188075042691309 0.496837567512783
            759 -1.614841116824287 0.315458857992971
            764 -1.511005148452170 0.226163929150599
            770 -1.496202326358019 0.190914992652570
            779 1.844476477256838 -0.161209058858386
            781 -0.253113424100208 -0.216144692459475
            784 1.537014094683490 -0.332462522141692
            815 1.464757530956135 -0.852257257498421
            831 -1.254175670324102 1.883778658216194
            833 -1.152560373130152 1.857173217627451
            836 0.804575841834633 1.727149221251532
            838 1.441677956406909 1.678780745521587
            839 -2.114218146809982 1.662735600234413
            841 1.412423516503848 1.579141449093735
            842 0.624320719097077 1.505381208604413
            851 1.246665771091195 0.903372066846493
            861 -0.562524399396220 0.139709903592739
            866 -1.661204086433552 -0.094668812001696
            869 1.640705157921632 -0.782834351798878
            876 1.416023265095228 -1.023754390204386
            887 -1.013980729582419 1.454939064141426
            888 -1.745669384359930 1.416449686584879
            889 0.777211269942046 1.416831683211089
            890 -2.079292196228997 1.380259629374612
            891 -2.023003701604067 1.379415270972233
            898 -2.762592021825180 0.862356001348582
            906 -1.615393472315241 0.307286589766078
            908 0.446099988174671 0.276562316076420
            915 0.129150132618957 2.171053670232209
            916 -1.119816579468042 1.895176114329606
