       image 		     Num    x                y            n   m
       B3_1.JPG              78     -0.78402372     -1.33866337   0   M
       B3_1.JPG             371     -2.95718131      1.47754960   0   M
       B3_2.JPG              31     -0.74680312      2.24507496   0   M
       B3_2.JPG              32     -0.76940412      2.07889692   0   M
       B3_2.JPG              33     -0.25053278      2.27474840   0   M
       B3_2.JPG              35     -1.71606183      1.69146771   0   M
       B3_2.JPG              36     -1.00119380      0.88921321   0   M
       B3_2.JPG              43     -2.48081922     -0.88492421   0   M
       B3_2.JPG              45     -1.79170899      0.75511257   0   M
       B3_2.JPG              77      0.03826716      0.49689515   0   M
       B3_2.JPG              78     -0.84551669     -1.89014752   0   M
       B3_3.JPG              32     -0.81740204      1.97799347   0   M
       B3_3.JPG              33     -0.25802990      2.19843728   0   M
       B3_3.JPG              35     -1.85591807      1.53797114   0   M
       B3_3.JPG              36     -1.10478057      0.58687761   0   M
       B3_3.JPG              43     -2.93370558     -1.70198249   0   M
       B3_3.JPG              45     -1.97398868      0.45995559   0   M
       B3_3.JPG              75      0.16187772      0.96004799   0   M
       B3_3.JPG              77      0.05291802      0.27633581   0   M
       B3_4.JPG              27     -2.81785605      1.81113771   0   M
       B3_4.JPG              31     -0.82503988      2.04099058   0   M
       B3_4.JPG              32     -0.86580608      1.81537991   0   M
       B3_4.JPG              33     -0.25546851      2.07590273   0   M
       B3_4.JPG              35     -2.01852070      1.30159416   0   M
       B3_4.JPG              36     -1.22603281      0.11773790   0   M
       B3_4.JPG              45     -2.19725489      0.01471340   0   M
       B3_4.JPG              75      0.19389718      0.74694364   0   M
       B3_4.JPG              77      0.08165747     -0.03100417   0   M
       B3_5.JPG              27     -2.99849266      1.64581268   0   M
       B3_5.JPG              31     -0.86091725      1.90191368   0   M
       B3_5.JPG              32     -0.90904024      1.63683004   0   M
       B3_5.JPG              33     -0.25307872      1.93855957   0   M
       B3_5.JPG              35     -2.17822284      1.04252390   0   M
       B3_5.JPG              36     -1.35106496     -0.41753366   0   M
       B3_5.JPG              45     -2.42833077     -0.48200996   0   M
       B3_5.JPG              75      0.22496408      0.52732141   0   M
       B3_5.JPG              77      0.10855377     -0.34777823   0   M
       B3_6.JPG              24     -0.89527959      2.19755777   0   M
       B3_6.JPG              31     -0.90985247      1.75332309   0   M
       B3_6.JPG              32     -0.97218894      1.43735197   0   M
       B3_6.JPG              33     -0.25479680      1.79319903   0   M
       B3_6.JPG              35     -2.39582087      0.73688493   0   M
       B3_6.JPG              36     -1.55122567     -1.13281724   0   M
       B3_6.JPG              45     -2.77324748     -1.13013077   0   M
       B3_6.JPG              75      0.25860800      0.27850690   0   M
       B3_6.JPG              77      0.13563769     -0.72435827   0   M
       B3_7.JPG              21     -1.22442417      2.08975699   0   M
       B3_7.JPG              22     -1.45027846      2.27280943   0   M
       B3_7.JPG              24     -0.93941960      2.08102896   0   M
       B3_7.JPG              26     -2.51896612      1.59438004   0   M
       B3_7.JPG              31     -0.95730376      1.58578635   0   M
       B3_7.JPG              32     -1.03400986      1.20082808   0   M
       B3_7.JPG              33     -0.24369154      1.62885015   0   M
